//LINE M16_CODE
@20 000000000000
@22 100100000110
@27 011110000110
@28 101101000110
@29 101101000110
@2C 110011000110
@2D 100001000110
@2E 010101000110
@2F 100100000101
@30 111110000101
@31 011110000101
@32 001110000101
@33 000110000101
@34 000010000101
@35 000000000101
@36 100000000101
@37 110000000101
@38 111000000101
@39 111100000101
@3A 111000000110
@3D 100010000101
@3F 001100000110
@40 011010000110
@41 010000000010
@42 100000000100
@43 101000000100
@44 100000000011
@45 000000000001
@46 001000000100
@47 110000000011
@48 000000000100
@49 000000000010
@4A 011100000100
@4B 101000000011
@4C 010000000100
@4D 110000000010
@4E 100000000010
@4F 111000000011
@50 011000000100
@51 110100000100
@52 010000000011
@53 000000000011
@54 100000000001
@55 001000000011
@56 000100000100
@57 011000000011
@58 100100000100
@59 101100000100
@5A 110000000100
